,ID,Label
0,C52.4.1,NGEN
1,C52.4.2,NGEN
2,C52.6,NGEN
3,C52.7,NGEN
4,C52.10,NGEN
5,C52.10.1,NGEN
6,C52.14,NGEN
7,C52.18,NGEN
8,C52.19,NGEN
9,C52.26,NGEN
10,C52.27,NGEN
11,C52.28,NGEN
12,C52.29,NGEN
13,C52.31,NGEN
14,C52.32,NGEN
15,C52.34,NGEN
16,C52.35,NGEN
17,C52.36,GEN
18,C52.36.1,GEN
19,C52.41,GEN
20,C52.41.1,NGEN
21,C52.43,NGEN
22,C52.44,NGEN
23,C52.47,NGEN
24,C52.48,NGEN
25,C52.49,NGEN
26,C52.50,NGEN
27,C52.52,NGEN
28,C52.53,NGEN
29,C52.55,NGEN
30,C52.56,NGEN
31,C52.61,NGEN
32,C52.62,NGEN
33,C52.64,NGEN
34,C52.65,NGEN
35,C52.66,NGEN
36,C52.67,NGEN
37,C52.68,GEN
38,C52.71,NGEN
39,C52.72,GEN
40,C52.74,GEN
41,C52.75,NGEN
42,C52.75.2,NGEN
43,C52.75.3,NGEN
44,C52.79,NGEN
45,C52.79.1,NGEN
46,C52.79.2,NGEN
47,C52.80,NGEN
48,C52.81,NGEN
49,C52.82,NGEN
50,C52.83,NGEN
51,C52.84,GEN
52,C52.85,NGEN
53,C52.86,NGEN
54,C52.89,NGEN
55,C52.90,GEN
56,C52.90.2,NGEN
57,C52.90.3,NGEN
58,C52.90.4,NGEN
59,C52.90.5,NGEN
60,C52.91,NGEN
61,C52.91.1,NGEN
62,C52.91.3,NGEN
63,C52.92,NGEN
64,C52.93,NGEN
65,C52.94,GEN
66,C52.95,NGEN
67,C52.99,NGEN
68,C52.99.1,NGEN
69,C52.100,NGEN
70,C52.101,GEN
71,C52.101.1,NGEN
72,C52.102,NGEN
73,C52.103.1,NGEN
74,C52.104,NGEN
75,C52.104.1,NGEN
76,C52.108,NGEN
77,C52.109,NGEN
78,C52.109.1,NGEN
79,C52.110,NGEN
80,C52.114,GEN
81,C52.114.1,NGEN
82,C52.114.2,NGEN
83,C52.114.3,NGEN
84,C52.114.5,NGEN
85,C52.115,NGEN
86,C52.118,GEN
87,C52.118.1,GEN
88,C52.119,GEN
89,C52.120,NGEN
90,C52.120.1,NGEN
91,C52.122,NGEN
92,C52.124.1,NGEN
93,C52.125,NGEN
94,C52.126,GEN
95,C52.127,NGEN
96,C52.127.1,NGEN
97,C52.131,NGEN
98,C52.131.1,NGEN
99,C52.131.2,NGEN
100,C52.133,NGEN
101,C52.133.1,NGEN
102,C52.133.2,NGEN
103,C52.133.3,NGEN
104,C52.135,NGEN
105,C52.136,GEN
106,C52.136.2,NGEN
107,C52.136.3,NGEN
108,C52.137,NGEN
109,C52.137.2,NGEN
110,C52.138,GEN
111,C52.139,NGEN
112,C52.139.1,NGEN
113,C52.139.3,NGEN
114,C52.139.4,NGEN
115,C52.140,NGEN
116,C52.141.2,NGEN
117,C52.141.5,NGEN
118,C52.142,NGEN
119,C52.143.1,NGEN
120,C52.144,NGEN
121,C52.144.1,NGEN
122,C53.1,NGEN
123,C53.3,GEN
124,C53.4,GEN
125,C53.4.2,NGEN
126,C53.4.3,NGEN
127,C53.4.4,NGEN
128,C53.6,GEN
129,C53.6.1,NGEN
130,C53.7,GEN
131,C53.8,NGEN
132,C53.9,GEN
133,C53.10,GEN
134,C53.10.1,NGEN
135,C53.11,NGEN
136,C53.11.2,NGEN
137,C53.11.3,NGEN
138,C53.11.5,NGEN
139,C53.12,NGEN
140,C53.13,NGEN
141,C53.13.2,NGEN
142,C60.1,NGEN
143,C60.1.2,NGEN
144,C60.1.4,NGEN
145,C60.2,NGEN
146,C60.4,NGEN
147,C60.6,NGEN
148,C60.7,NGEN
149,C60.10,NGEN
150,C60.11,NGEN
151,C60.12,NGEN
152,C60.14,NGEN
153,C60.15,NGEN
154,C60.16,NGEN
155,C60.17,NGEN
156,C60.18,NGEN
157,C60.19,NGEN
158,C60.20,NGEN
159,C60.22,NGEN
160,C60.23,NGEN
161,C60.24,NGEN
162,C60.25,GEN
163,C60.26,NGEN
164,C60.28,NGEN
165,C60.30,NGEN
166,C60.31,NGEN
167,C60.32,NGEN
168,C60.37,NGEN
169,C60.38,NGEN
170,C60.40,NGEN
171,C60.42,NGEN
172,C60.44,NGEN
173,C60.45,NGEN
174,C60.46,NGEN
175,C60.47,GEN
176,C60.50,NGEN
177,C60.51,NGEN
178,C60.52,NGEN
179,C60.53,NGEN
180,C60.54,NGEN
181,C60.55,NGEN
182,C60.56,NGEN
183,C60.57,NGEN
184,C60.59,NGEN
185,C60.60,NGEN
186,C60.61,NGEN
187,C60.62,NGEN
188,C60.63,NGEN
189,C60.64,NGEN
190,C60.65,NGEN
191,C60.66,GEN
192,C60.67,NGEN
193,C60.71,NGEN
194,C60.73,NGEN
195,C60.74,NGEN
196,C60.75,GEN
197,C60.76,NGEN
198,C60.77,NGEN
199,C60.78,NGEN
200,C60.80,NGEN
